JASSO Scholarship Pamphlet 2025-2026 — Sortable Master List,,,,,,,,,,,,,,,,,,,,
"Source: Japan Student Services Organization (JASSO) Scholarship for International Students in Japan 2025-2026. Use the filter dropdowns on each column to narrow by country, field, age limit, etc. Sections: III = Local Govts, IV = Private Foundations, V = For applicants residing abroad. Sub-entries under one foundation use suffix numbering (e.g., 61-1, 61-2). Qualifier codes: HS=High School, CT=College of Technology, ST=Specialized Training, UJ=Univ Japanese Program, JL=Japanese Lang Institute, JC=Junior College, A=Auditors (Undergrad), U=Undergrad, R=Research Student, P=Professional Degree, M=Master's, D=Doctoral. Selection: D=Document, I=Interview, W=Written exam, O=Others.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Section,No.,Foundation,Scholarship Name,Address / Contact,Inquiry,Application,Qualifier (School Year),Age Limit,Designated Countries/Regions,Designated Schools in Japan,Designated Fields of Study,Plural Grants,Non-Student Visa OK,Additional Requirements,"Contents (¥1,000)",Duration,Application Period,Selection Method,Grantees,Grantees / Applications (Prev Year)
III. Local Govts & Intl Associations,1,"Kitami City
北見市","Kitami City Scholarship for
Foreign Students","Citizen Environment Department
Kitami City Office,
Odori Nishi-3-Chome 1-1 Kitami-
City, Hokkaido 090-8501
Tel 0157-25-1105 Fax 0157-25-1016
www.city.kitami.lg.jp/
administration/education/detail.
php?content=9543
shiminkatsudo@city.kitami.lg.jp",F,S,"ST
JC
U
R
M
D",−,−,"Kitami city,
Hokkaido",−,N,N,Kitami city residents,200/Y,"1y
(Apr.-Mar.)
(Scholarship
payment
in July and
Dec.)",Late May,D,15,15/35
III. Local Govts & Intl Associations,2,"Iwate International Association
（公財）岩手県国際交流協会","Iwate Prefecture's
Scholarship","Aina 5F, 1-7-1
Moriokaekinishitori,Morioka, Iwate
020-0045
Tel 019-654-8900 Fax 019-654-8922
iwateint@iwate-ia.or.jp",S,S,"CT(3-)
JC
U
M
D",−,−,Iwate pref.,−,"Y
(48/M)",N,"Students interested in
intercultural activities
Recommendation from
designated schools
required","20/M
（TBA）","1y
(Apr.-Mar.)",Apr.（TBA）,"D, I","9
（TBA）",9/13
III. Local Govts & Intl Associations,3,"Yamagata Pref.
山形県","Yamagata Prefectural
Scholarship for Privately
Financed Foreign Students","International Human Resources
Development and Convention
Promotion Division, Yamagata
Prefectural Government
2-8-1, Matsunami, Yamagata-shi,
Yamagata 990-8570
Tel 023-630-2129
Fax 023-630-2092
https://int-students-yamagata.jp/
en/study/",S,S,"CT(4-5)
UJ
JL
ST
JC
U(3-4)
P
M
D",−,−,Yamagata pref.,−,N,N,"Those who wish to
work in Yamagata
pref.","JL
10/M
Except for
the above
20/M
(TBC)","1y
(Apr.-Mar.)","Apr.-
Early May",D,"Within
the
budget",67/67
III. Local Govts & Intl Associations,4,"Ohtawara-city Board of
Education
大田原市教育委員会","Ohtawara-city Foreign
Student Scholarship","Ohtawara City Office, 1-4-1, Honcho,
Ohtawara-City, Tochigi 324-8641
Tel 0287-23-3111
Fax 0287-23-3113
soumu-kyouiku@city.ohtawara.
tochigi.jp","F
・
S",S,U(1-6),−,−,"International
U of Health
and Welfare
(Ohtawara City)",−,Y,N,"University
recommendation
required
Legally registered as
residents of Ohtawara
city",5/M,"1y
(Apr.-Mar.)",Apr.-Mar.,D,About 20,7/7
III. Local Govts & Intl Associations,5,"Shinjuku-ku
新宿区",Foreign Student Scholarship,"Shinjuku City Office, 1-4-1,
Kabukicho,
Shinjuku-ku, Tokyo 160-8484
Tel 03-5273-3504 Fax 03-3209-7455","F
・
S",S,"ST (2-)
JC (2)
U (2-)
M (2)
D (2-)",−,−,"Shinjuku City,
Tokyo",−,Y,N,"Privately financed
students in Shinjuku
who have studied at
eligible schools for
one year or longer
and are planning to
continue their studies
for at least one year",240/Y,"1y
(Scholarship
payment
in July and
Dec.)","Mid May-
Late May",D,About 15,15/32
III. Local Govts & Intl Associations,6,"Kawasaki International
Association
（公財）川崎市国際交流協会","Financial Assistance Program
for Foreign Students","Kawasaki International Association
2-2 Kizuki, Gion-cho, Nakahara-ku,
Kawasaki-city, Kanagawa 211-0033
Tel 044-435-7000 Fax 044-435-7010
www.kian.or.jp
kiankawasaki@kian.or.jp",S,S,"CT
ST
JC
U
M
D",−,−,"Kawasaki city,
Kanagawa",−,"Y
（N:MEXT）",N,"Privately financed
students in Kawasaki.
School recommendation
required.
Student who resides
and can participate in
the international
exchange activities in
Kawasaki.
Students who live in
Kawasaki",100/Y,1y,"Apr.-
Mid May",D,24,24/40
III. Local Govts & Intl Associations,7,"Ishikawa-Pref.
石川県","Ishikawa Prefectural
Scholarship for Privately
Financed Foreign Students","International Exchange Division，
Ishikawa Prefectural Government
1-1 Kuratsuki, Kanazawa-city,
Ishikawa 920-8580
Tel 076-225-1382 Fax 076-225-1383
e200500@pref.ishikawa.lg.jp",S,S,"CT
UJ
JL
ST
JC
U
R
M
D",−,−,Ishikawa pref.,−,"Not
fixed",N,"Students who have
been enrolled
in a university
in Ishikawa
for less than one year","Not
fixed","1y
(Apr.-Mar.)",June,D,"Not
fixed",50/50
III. Local Govts & Intl Associations,8,"Shiga Intercultural Association
for Globalization
（公財）滋賀県国際協会","Biwako Scholarship for
Foreign Students","Piazza Omi 2F 1-1-20 Nionohama,
Otsu-city, Shiga 520-0801
Tel 077-526-0931 Fax 077-510-0601
www.s-i-a.or.jp/en/projects/
multicultural
info@s-i-a.or.jp","F
・
S",S,"JC
U
M
D",−,−,Shiga pref.,−,"Y
20/M",N,Living in Shiga pref.,20/M,1y,Apr.-May,D,Not fixed,"10/19
(2024)"
,,,,,,,,,,,,,,,,,,,,
III. Local Govts & Intl Associations,10,"Kobe International Community
Center
（公財）神戸国際コミュニティ
センター","Kobe International Students
Scholarship (Kobe/Sugawara
Scholarship)","Asta Kunizuka 1-Bankan South
Building 4F
5-3-1, Udezuka-cho, Nagata-ku, Kobe
653-0036, Hyogo
Tel 078-742-8908
Fax 078-691-5553
www.kicc.jp/en/aboutus/shien
ryugakusei_55@kicc.jp",S,S,"U(3-4)
M
D",−,−,"Kobe city, Hyogo",−,N,N,"Priority will be given
to
・ 5 of 30 grantees of
South East Asian
students
・ 1 of 30 grantees
of Kobe・Tianjin
city friendship
partnership
alliance",80/M,1y,"Feb.-
Mid Mar.","D, I",30,"30/58
(2024)"
